player_name,matches,innings,total_runs,balls_faced,batting_average,strike_rate,fours,sixes,highest_score,centuries,fifties,balls_bowled,runs_conceded,wickets,bowling_average,economy_rate,bowling_strike_rate,four_wicket_hauls,five_wicket_hauls
Akash Madhwal,1.0,1.0,4.0,5.0,0.0,80.0,0.0,0.0,4.0,0.0,0.0,279.0,407.0,22.0,18.5,8.75268817204301,12.681818181818182,1.0,1.0
Aman Hakim Khan,10.0,2.0,115.0,109.0,12.777777777777779,105.50458715596329,8.0,6.0,51.0,0.0,1.0,6.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0
Anirudh Singh,4.0,2.0,63.0,69.0,15.75,91.30434782608695,6.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ankit Sharma,10.0,2.0,87.0,69.0,12.428571428571429,126.08695652173914,7.0,4.0,30.0,0.0,0.0,375.0,436.0,12.0,36.333333333333336,6.976,31.25,0.0,0.0
Ankit Soni,3.0,1.0,7.0,9.0,3.5,77.77777777777779,0.0,1.0,7.0,0.0,0.0,112.0,141.0,4.0,35.25,7.553571428571428,28.0,0.0,0.0
Anmolpreet Singh,9.0,2.0,139.0,117.0,15.444444444444445,118.80341880341881,19.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anuj Rawat,21.0,2.0,318.0,276.0,19.875,115.21739130434783,26.0,14.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anureet Singh,8.0,2.0,36.0,47.0,9.0,76.59574468085107,2.0,1.0,15.0,0.0,0.0,430.0,601.0,21.0,28.61904761904762,8.386046511627907,20.476190476190474,0.0,0.0
Arjun Tendulkar,1.0,1.0,13.0,9.0,13.0,144.44444444444443,0.0,1.0,13.0,0.0,0.0,83.0,104.0,4.0,26.0,7.518072289156626,20.75,0.0,0.0
Arshad Khan,6.0,2.0,96.0,67.0,32.0,143.28358208955223,5.0,6.0,58.0,0.0,1.0,153.0,258.0,6.0,43.0,10.117647058823529,25.5,0.0,0.0
Arshad Khan (2),1.0,1.0,5.0,4.0,5.0,125.0,1.0,0.0,5.0,0.0,0.0,13.0,22.0,0.0,0.0,10.153846153846155,0.0,0.0,0.0
Arshdeep Singh,11.0,2.0,29.0,42.0,5.8,69.04761904761905,4.0,0.0,10.0,0.0,0.0,1453.0,1958.0,84.0,23.30952380952381,8.085340674466622,17.297619047619047,3.0,1.0
Ashutosh Sharma,9.0,2.0,189.0,118.0,27.0,160.16949152542372,10.0,15.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atharva Taide,9.0,2.0,247.0,177.0,27.444444444444443,139.54802259887003,27.0,8.0,66.0,0.0,2.0,1.0,4.0,0.0,0.0,24.0,0.0,0.0,0.0
Avesh Khan,9.0,2.0,41.0,25.0,20.5,164.0,3.0,3.0,12.0,0.0,0.0,1390.0,1909.0,81.0,23.567901234567902,8.240287769784173,17.160493827160494,2.0,0.0
Azhar Mahmood,21.0,2.0,388.0,311.0,20.42105263157895,124.7588424437299,39.0,13.0,80.0,0.0,2.0,552.0,681.0,31.0,21.967741935483872,7.4021739130434785,17.806451612903224,0.0,0.0
Azmatullah Omarzai,4.0,2.0,42.0,34.0,10.5,123.52941176470588,2.0,2.0,17.0,0.0,0.0,131.0,181.0,4.0,45.25,8.290076335877863,32.75,0.0,0.0
B Akhil,11.0,2.0,76.0,57.0,12.666666666666666,133.33333333333331,5.0,5.0,27.0,0.0,0.0,193.0,235.0,7.0,33.57142857142857,7.305699481865285,27.571428571428573,0.0,0.0
B Chipli,21.0,2.0,280.0,256.0,18.666666666666668,109.375,28.0,7.0,61.0,0.0,1.0,6.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0
